cpu,ram,disk_read,disk_write,net_sent,net_recv
16.8,65.6,27794795520,11507750912,20104753,314777360
11.2,65.6,27794795520,11507812352,20119777,315403616
11.7,65.5,27794795520,11507828736,20120057,315403836
13.6,65.6,27794795520,11507951616,20120057,315403836
20.8,65.1,27795278848,11508045824,20135181,316157618
10.7,65.1,27795278848,11508164608,20135344,316157738
12.7,65.1,27795278848,11508393984,20146323,316534433
9.9,65.1,27795278848,11508656128,20149188,316760554
14.4,65.1,27795278848,11508725760,20149262,316760732
14.3,65.0,27795278848,11508803584,20149379,316760732
21.4,65.0,27795278848,11508824064,20162647,317296922
10.5,65.1,27795278848,11508848640,20171198,317297311
11.6,65.1,27795278848,11508971520,20176275,317822872
14.3,65.1,27795278848,11509147648,20176275,317822872
11.9,65.1,27795278848,11509483520,20199530,318436025
11.2,65.1,27795278848,11509491712,20208051,318437399
11.7,65.1,27795278848,11509549056,20208187,318437399
10.5,65.1,27795278848,11509585920,20208187,318437399
13.2,65.2,27795278848,11509594112,20220625,318822643
11.2,65.2,27795278848,11509618688,20229478,318824168
12.8,65.2,27795291136,11509639168,20237890,318824619
10.7,65.2,27795291136,11509680128,20252856,318987861
14.0,65.2,27795291136,11509749760,20253019,318988244
14.8,65.2,27795291136,11509786624,20265598,319417993
11.8,65.2,27795356672,11509798912,20274394,319419467
12.2,65.2,27795356672,11509946368,20284809,319644882
12.4,65.2,27795356672,11509962752,20293386,319646125
10.6,65.1,27795356672,11510224896,20293460,319646226
14.2,65.2,27795356672,11510278144,20293562,319646226
13.2,65.1,27795356672,11510368256,20314866,319949986
10.3,65.2,27795356672,11510511616,20325600,320138611
14.5,65.2,27795356672,11510581248,20325770,320138739
15.7,65.2,27795414016,11510597632,20325770,320138739
11.6,65.2,27795414016,11510634496,20338153,320531440
12.8,65.2,27795414016,11510638592,20357571,320538271
24.0,65.2,27795414016,11510753280,20367875,320738896
10.6,65.2,27795414016,11510851584,20376367,320740042
13.7,65.2,27795414016,11510851584,20376367,320740042
17.1,65.2,27795414016,11510929408,20388031,321034789
11.5,65.2,27795487744,11511191552,20398718,321247217
19.7,64.6,27795487744,11511265280,20407138,321248359
15.5,64.3,27795536896,11526338560,20407412,321248359
12.3,64.4,27795748352,11539507200,20408152,321248744
14.4,64.4,27795748352,11539589120,20420435,321559138
11.0,64.4,27795748352,11540015104,20430160,321674060
11.1,64.4,27795748352,11540162560,20438962,321675517
13.6,64.3,27795748352,11540264960,20451252,322073263
12.1,64.3,27795748352,11540314112,20459571,322073533
10.3,64.3,27795748352,11540326400,20459672,322074679
12.7,64.3,27795748352,11540326400,20459843,322074799
11.1,64.3,27795748352,11540453376,20480485,322478689
26.8,64.4,27795748352,11540592640,20493144,322483073
12.8,64.4,27795748352,11540707328,20493218,322483251
10.2,64.4,27795748352,11540793344,20504329,322493126
10.7,64.4,27795748352,11540817920,20527113,322813178
11.6,64.3,27795748352,11541473280,20538195,323057095
12.6,64.3,27795748352,11541796864,20546581,323057956
14.1,64.3,27795813888,11541866496,20546581,323057956
13.4,64.5,27795830272,11543119872,20546819,323058131
10.8,64.4,27795846656,11543205888,20559049,323473672
11.3,64.4,27795846656,11543296000,20567650,323474875
14.2,64.3,27795846656,11543308288,20568121,323475315
12.8,64.3,27795846656,11543312384,20589954,323855410
12.1,64.3,27795846656,11543549952,20590016,323855410
11.0,64.3,27795846656,11543554048,20601871,324084649
12.4,64.3,27795846656,11543574528,20610270,324085631
12.9,64.3,27795858944,11543578624,20610494,324085990
14.7,64.3,27795908096,11543853056,20621646,324398491
12.4,64.3,27795949056,11543959552,20630138,324399385
11.9,64.3,27795957248,11544086528,20630539,324399933
22.3,64.3,27795957248,11545241600,20641142,324627439
12.9,64.3,27795957248,11545401344,20641451,324627741
11.6,64.3,27795957248,11545442304,20641451,324627741
11.2,64.3,27795957248,11545810944,20650948,324632621
14.1,64.3,27795965440,11545921536,20651304,324633409
13.1,64.3,27795965440,11546208256,20651378,324633587
12.6,64.3,27795965440,11546224640,20651545,324633661
11.5,64.3,27795965440,11546232832,20651545,324633661
9.9,64.3,27795965440,11546318848,20651607,324633661
12.0,64.3,27795965440,11546626048,20660418,324652777
21.2,64.3,27795965440,11546695680,20660418,324652777
30.1,64.7,27796030976,11547428864,20664513,324654269
19.7,64.6,27796084224,11547744256,20666177,324656191
9.2,64.6,27796424192,11550468096,20666557,324656499
11.9,64.5,27796515328,11552561152,20666666,324656619
25.6,64.5,27796515328,11552598016,20666839,324656868
14.9,64.5,27796515328,11552598016,20666901,324656868
13.4,64.5,27796515328,11553126400,20667009,324656922
10.0,64.9,27796539904,11553458176,20667173,324656996
22.3,64.9,27796539904,11553466368,20667396,324657289
19.7,65.0,27796539904,11553474560,20667575,324657541
23.2,61.8,27796539904,11553777664,20670195,324669625
14.0,60.0,27796539904,11553777664,20670195,324669625
10.5,60.1,27796539904,11553859584,20679557,324676199
12.0,60.1,27796539904,11553859584,20679654,324676307
11.1,60.1,27796539904,11554002944,20679716,324676307
16.7,60.1,27796539904,11554007040,20679716,324676408
10.9,60.1,27796605440,11554105344,20679864,324676586
10.6,60.1,27796605440,11554109440,20680031,324676660
13.0,60.2,27796605440,11554211840,20680140,324676780
13.8,60.2,27796605440,11554285568,20680528,324677054
10.4,60.2,27796605440,11554289664,20680952,324677054
10.6,60.2,27796605440,11554342912,20681553,324677214
13.3,60.2,27796605440,11554576384,20681670,324677280
17.7,60.3,27796802048,11569563648,20682020,324677869
13.2,60.3,27796867584,11578386432,20682261,324678047
12.3,60.3,27796867584,11578660864,20682261,324678121
11.7,60.3,27796867584,11578882048,20682409,324678332
11.1,60.3,27796867584,11578972160,20682471,324678406
14.5,60.3,27796867584,11579136000,20682526,324678472
14.3,60.3,27796867584,11579521024,20686175,324678945
11.6,60.3,27796867584,11579738112,20691823,324757175
10.6,60.3,27796869632,11579912192,20692115,324757496
11.4,60.3,27796873728,11579953152,20701879,324764445
13.8,60.3,27796873728,11580157952,20702096,324764619
44.1,61.2,27796873728,11580215296,20702158,324764619
45.4,61.4,27798047744,11580653568,20702328,324764927
18.4,61.6,27799307264,11581059072,20712201,324829550
15.0,61.6,27799405568,11581829120,20712357,324829676
13.0,61.5,27799405568,11582275584,20712486,324829843
13.6,61.0,27799421952,11582570496,20712548,324829843
15.6,61.1,27799421952,11582840832,20714415,324831478
11.7,61.0,27799421952,11583021056,20715804,324839318
10.4,61.0,27799421952,11583188992,20715866,324839384
13.1,61.0,27799421952,11583197184,20715975,324839504
12.0,60.9,27799487488,11583201280,20716255,324839724
65.3,61.8,27805083648,11588288512,20716255,324839724
71.1,62.7,27825511936,11602124800,20730007,324850432
45.4,62.6,27827275776,11604463616,20759949,325068715
48.0,62.2,27830308864,11608064512,20783629,325081528
40.4,61.6,27831517696,11610976768,20822969,325125185
15.1,61.5,27831521792,11611279872,20828691,325188521
36.0,61.8,27831587328,11611841024,20853605,325229585
24.9,62.0,27831661056,11612574208,20859744,325335841
19.3,62.1,27831661056,11613127168,20866768,325494406
9.0,62.1,27831824896,11613803008,20886571,326728405
32.7,62.0,27831955968,11614360064,20888128,326728979
27.4,62.0,27831968256,11614863872,20889250,326734088
18.0,61.9,27831968256,11615281664,20904256,327491309
23.9,62.0,27840201216,11617071616,20904529,327491595
14.1,61.9,27842351616,11625509376,20908434,327492255
6.3,61.9,27843457536,11630674432,20915159,327509849
17.7,61.9,27843490304,11631137280,20922663,327980983
8.7,61.9,27843490304,11631202816,20922737,327981215
25.5,61.9,27843490304,11631206912,20929638,328353805
3.5,61.9,27843490304,11631325696,20929742,328353847
24.2,62.2,27843490304,11631383040,20934866,328356080
19.8,61.9,27843490304,11631981056,20938642,328824345
12.2,61.8,27843490304,11632161280,20965624,328834132
8.3,61.9,27843490304,11632230912,20976368,328841802
7.3,62.0,27843490304,11632312832,20985790,329354410
9.8,61.9,27844292608,11632640512,20985864,329354588
12.6,61.9,27844292608,11632742912,20986086,329354728
10.3,61.8,27844292608,11632751104,20995777,329930942
9.8,61.9,27844309504,11632779776,20995832,329931008
4.7,61.8,27844375040,11632837120,20999488,329931623
8.5,61.8,27844375040,11632964096,21004070,330459822
8.3,61.7,27844375040,11633734144,21004132,330459822
19.2,61.6,27844375040,11633754624,21011772,330940423
6.9,61.6,27844375040,11633816064,21011827,330940489
25.5,62.2,27844375040,11633816064,21012418,330940563
7.4,62.1,27844452864,11634090496,21027663,331457904
12.4,62.1,27844452864,11634553344,21031752,331459286
11.3,62.0,27844452864,11634602496,21031752,331459286
12.2,61.7,27844452864,11634606592,21039442,331952873
8.1,61.7,27844452864,11634708992,21039578,331953051
13.0,61.8,27844452864,11634708992,21039652,331953152
10.7,61.8,27844485632,11634860544,21043159,331953688
11.7,61.7,27844485632,11634872832,21056168,332649910
11.1,61.7,27844485632,11634946560,21059886,332650339
6.8,61.7,27844485632,11635040768,21063487,332650735
8.2,61.8,27844485632,11635077632,21067442,333089625
10.2,61.7,27844485632,11635094016,21067504,333089625
12.2,61.7,27844485632,11635122688,21082793,333517843
14.6,61.8,27844485632,11635126784,21082965,333517909
10.4,61.8,27844518400,11636670976,21083183,333518195
9.9,61.8,27844518400,11636929024,21087425,333524117
11.5,61.7,27844518400,11637113344,21090622,333909169
11.2,61.6,27844518400,11637232128,21096641,334234435
16.0,61.8,27844518400,11637236224,21096812,334234555
7.3,61.8,27844518400,11637256704,21106764,334481884
17.0,61.8,27844518400,11637293568,21106838,334481985
11.9,61.6,27844518400,11637350912,21114541,334984299
10.5,61.7,27844518400,11637502464,21114754,334984427
11.2,61.8,27844518400,11637506560,21114871,334984493
5.0,61.8,27844518400,11637531136,21118323,334984675
16.4,61.9,27844518400,11637535232,21126156,335462384
9.8,61.9,27844518400,11637764608,21126218,335462384
15.8,61.8,27844518400,11638080000,21126436,335462636
14.0,61.9,27844518400,11638080000,21133023,335780204
8.1,61.7,27844518400,11638137344,21136480,335780862
9.0,61.8,27844518400,11638391296,21136687,335781010
25.5,61.8,27844669952,11638817280,21144273,336110789
12.2,61.8,27844669952,11638829568,21157059,336116776
9.3,61.7,27844669952,11638858240,21157272,336116938
9.3,61.7,27844719104,11638874624,21166153,336261290
8.7,61.7,27844719104,11638882816,21166479,336261564
10.7,61.7,27844719104,11638903296,21166615,336261665
12.1,61.7,27844719104,11638944256,21173399,336559395
9.2,61.7,27844719104,11638948352,21177673,336561121
8.7,61.7,27844719104,11639128576,21181206,336561862
10.1,61.7,27844743680,11639128576,21188882,336887678
7.1,61.6,27844743680,11639292416,21192477,336888508
10.1,61.6,27844743680,11639292416,21192477,336888508
10.9,61.6,27844743680,11639337472,21196599,336896881
17.0,61.8,27855080448,11639370240,21199621,337006790
44.0,62.2,27862614528,11642212864,21209523,337332204
36.5,62.2,27867283968,11646730752,21218912,337362832
41.5,62.3,27870790144,11650851328,21223036,337384165
42.4,62.2,27873743360,11657273856,21232671,337539870
22.8,62.2,27875557888,11660730880,21239941,337547076
24.2,62.3,27875561984,11660947968,21240003,337547076
21.8,62.4,27875561984,11661455872,21261844,337819288
31.5,62.9,27875561984,11661500928,21261899,337819288
15.4,62.8,27875578368,11662148096,21270952,337975979
55.8,63.2,27875758592,11662410240,21271170,337976199
38.5,63.5,27878101504,11682550272,21314664,338028256
49.3,63.1,27887121408,11702936064,21337070,338323119
46.6,63.3,27901370368,11728101888,21337341,338323911
25.4,63.2,27903385600,11747488256,21343516,338447431
23.0,63.3,27903627264,11750019584,21344014,338447532
29.7,63.2,27903705088,11750334976,21357573,338697417
9.2,63.1,27907781120,11750552064,21361299,338698564
15.7,63.1,27907781120,11750576640,21365301,338704337
15.9,62.8,27907781120,11750838784,21370053,338805885
7.9,63.2,27907797504,11750863360,21385820,338945357
11.2,63.3,27907863040,11751170560,21389564,338945952
9.8,63.3,27907895808,11751457280,21389924,338946546
8.7,63.8,27909288448,11776623104,21407446,339212614
41.0,64.0,27909734912,11778105856,21411126,339213701
38.3,65.3,27909803520,11778785792,21436278,339354171
31.8,65.4,27909869056,11779236352,21439272,339354773
8.9,65.0,27909869056,11779543552,21450423,339362074
12.7,64.2,27909869056,11779637760,21456689,339654265
15.9,63.9,27909869056,11779863040,21460399,339655006
11.9,63.7,27909869056,11780239872,21460515,339655149
26.3,63.7,27909869056,11780628992,21466904,339923004
11.7,63.7,27909869056,11780669952,21470948,339924024
10.1,63.6,27909869056,11780776448,21478233,340075236
18.7,63.7,27909869056,11780887040,21484008,340084072
11.3,63.6,27909869056,11780899328,21484082,340084250
13.0,63.6,27909869056,11781030400,21490546,340416817
11.6,63.6,27910000128,11781222912,21494100,340417568
10.3,63.4,27910000128,11781235200,21494291,340417735
8.3,63.4,27910000128,11781415424,21499516,340557306
24.4,63.6,27910000128,11781566976,21503249,340558303
20.9,63.5,27910098432,11782685184,21503311,340558303
10.1,63.5,27910168064,11782840832,21503385,340558481
11.9,63.5,27910168064,11782844928,21516055,340891028
12.0,63.3,27910184448,11782849024,21516163,340891082
12.6,63.4,27910184448,11782849024,21516483,340891376
15.8,63.4,27910249984,11783180800,21526292,341197661
23.3,64.0,27910249984,11783180800,21536107,341203075
10.8,63.8,27910249984,11783225856,21536333,341203261
11.7,63.9,27910249984,11783246336,21545714,341324252
10.9,63.8,27910249984,11783508480,21545714,341324252
15.6,63.4,27910249984,11783508480,21552557,341641926
9.8,63.4,27910249984,11783565824,21552557,341641926
15.5,63.3,27910249984,11783578112,21557844,341794589
7.9,63.4,27910249984,11783651840,21568380,341884341
12.0,63.4,27910249984,11784000000,21568485,341884415
7.8,63.4,27910249984,11784040960,21578413,342162385
10.2,63.4,27910249984,11784045056,21578683,342163234
